"price.open" "price.high" "price.low" "price.close" "volume" "adjusted" "ref.date" "ticker"
"1" 700.940002 700.940002 700.940002 700.940002 0 700.940002 2003-12-12 "NBI"
"2" NA NA NA NA NA NA 2003-12-15 "NBI"
"3" NA NA NA NA NA NA 2003-12-16 "NBI"
"4" NA NA NA NA NA NA 2003-12-17 "NBI"
"5" NA NA NA NA NA NA 2003-12-18 "NBI"
"6" NA NA NA NA NA NA 2003-12-19 "NBI"
"7" 709.159973 709.159973 709.159973 709.159973 0 709.159973 2003-12-22 "NBI"
"8" NA NA NA NA NA NA 2003-12-23 "NBI"
"9" NA NA NA NA NA NA 2003-12-24 "NBI"
"10" NA NA NA NA NA NA 2003-12-26 "NBI"
"11" NA NA NA NA NA NA 2003-12-29 "NBI"
"12" NA NA NA NA NA NA 2003-12-30 "NBI"
"13" NA NA NA NA NA NA 2003-12-31 "NBI"
"14" NA NA NA NA NA NA 2004-01-02 "NBI"
"15" NA NA NA NA NA NA 2004-01-05 "NBI"
"16" NA NA NA NA NA NA 2004-01-06 "NBI"
"17" NA NA NA NA NA NA 2004-01-07 "NBI"
"18" NA NA NA NA NA NA 2004-01-08 "NBI"
"19" NA NA NA NA NA NA 2004-01-09 "NBI"
"20" NA NA NA NA NA NA 2004-01-12 "NBI"
"21" NA NA NA NA NA NA 2004-01-13 "NBI"
"22" NA NA NA NA NA NA 2004-01-14 "NBI"
"23" NA NA NA NA NA NA 2004-01-15 "NBI"
"24" NA NA NA NA NA NA 2004-01-16 "NBI"
"25" NA NA NA NA NA NA 2004-01-20 "NBI"
"26" 785.210022 785.210022 785.210022 785.210022 0 785.210022 2004-01-21 "NBI"
"27" NA NA NA NA NA NA 2004-01-22 "NBI"
"28" NA NA NA NA NA NA 2004-01-23 "NBI"
"29" NA NA NA NA NA NA 2004-01-26 "NBI"
"30" NA NA NA NA NA NA 2004-01-27 "NBI"
"31" NA NA NA NA NA NA 2004-01-28 "NBI"
"32" NA NA NA NA NA NA 2004-01-29 "NBI"
"33" NA NA NA NA NA NA 2004-01-30 "NBI"
"34" 786.599976 786.599976 786.599976 786.599976 0 786.599976 2004-02-02 "NBI"
"35" NA NA NA NA NA NA 2004-02-03 "NBI"
"36" NA NA NA NA NA NA 2004-02-04 "NBI"
"37" NA NA NA NA NA NA 2004-02-05 "NBI"
"38" NA NA NA NA NA NA 2004-02-06 "NBI"
"39" NA NA NA NA NA NA 2004-02-09 "NBI"
"40" 791.919983 791.919983 791.919983 791.919983 0 791.919983 2004-02-10 "NBI"
"41" NA NA NA NA NA NA 2004-02-11 "NBI"
"42" NA NA NA NA NA NA 2004-02-12 "NBI"
"43" NA NA NA NA NA NA 2004-02-13 "NBI"
"44" NA NA NA NA NA NA 2004-02-17 "NBI"
"45" NA NA NA NA NA NA 2004-02-18 "NBI"
"46" NA NA NA NA NA NA 2004-02-19 "NBI"
"47" NA NA NA NA NA NA 2004-02-20 "NBI"
"48" NA NA NA NA NA NA 2004-02-23 "NBI"
"49" NA NA NA NA NA NA 2004-02-24 "NBI"
"50" NA NA NA NA NA NA 2004-02-25 "NBI"
"51" NA NA NA NA NA NA 2004-02-26 "NBI"
"52" NA NA NA NA NA NA 2004-02-27 "NBI"
"53" NA NA NA NA NA NA 2004-03-01 "NBI"
"54" 788.77002 788.77002 788.77002 788.77002 0 788.77002 2004-03-02 "NBI"
"55" NA NA NA NA NA NA 2004-03-03 "NBI"
"56" NA NA NA NA NA NA 2004-03-04 "NBI"
"57" NA NA NA NA NA NA 2004-03-05 "NBI"
"58" NA NA NA NA NA NA 2004-03-08 "NBI"
"59" NA NA NA NA NA NA 2004-03-09 "NBI"
"60" NA NA NA NA NA NA 2004-03-10 "NBI"
"61" NA NA NA NA NA NA 2004-03-11 "NBI"
"62" NA NA NA NA NA NA 2004-03-12 "NBI"
"63" 755.77002 755.77002 755.77002 755.77002 0 755.77002 2004-03-15 "NBI"
"64" NA NA NA NA NA NA 2004-03-16 "NBI"
"65" NA NA NA NA NA NA 2004-03-17 "NBI"
"66" NA NA NA NA NA NA 2004-03-18 "NBI"
"67" NA NA NA NA NA NA 2004-03-19 "NBI"
"68" NA NA NA NA NA NA 2004-03-22 "NBI"
"69" NA NA NA NA NA NA 2004-03-23 "NBI"
"70" NA NA NA NA NA NA 2004-03-24 "NBI"
"71" NA NA NA NA NA NA 2004-03-25 "NBI"
"72" NA NA NA NA NA NA 2004-03-26 "NBI"
"73" NA NA NA NA NA NA 2004-03-29 "NBI"
"74" 780.52002 780.52002 780.52002 780.52002 0 780.52002 2004-03-30 "NBI"
"75" NA NA NA NA NA NA 2004-03-31 "NBI"
"76" NA NA NA NA NA NA 2004-04-01 "NBI"
"77" NA NA NA NA NA NA 2004-04-02 "NBI"
"78" NA NA NA NA NA NA 2004-04-05 "NBI"
"79" 804.02002 804.02002 804.02002 804.02002 0 804.02002 2004-04-06 "NBI"
"80" NA NA NA NA NA NA 2004-04-07 "NBI"
"81" NA NA NA NA NA NA 2004-04-08 "NBI"
"82" NA NA NA NA NA NA 2004-04-12 "NBI"
"83" 784.159973 784.159973 784.159973 784.159973 0 784.159973 2004-04-13 "NBI"
"84" 787.530029 787.530029 787.530029 787.530029 0 787.530029 2004-04-14 "NBI"
"85" NA NA NA NA NA NA 2004-04-15 "NBI"
"86" NA NA NA NA NA NA 2004-04-16 "NBI"
"87" NA NA NA NA NA NA 2004-04-19 "NBI"
"88" NA NA NA NA NA NA 2004-04-20 "NBI"
"89" NA NA NA NA NA NA 2004-04-21 "NBI"
"90" NA NA NA NA NA NA 2004-04-22 "NBI"
"91" NA NA NA NA NA NA 2004-04-23 "NBI"
"92" NA NA NA NA NA NA 2004-04-26 "NBI"
"93" NA NA NA NA NA NA 2004-04-27 "NBI"
"94" NA NA NA NA NA NA 2004-04-28 "NBI"
