"BTK.Open" "BTK.High" "BTK.Low" "BTK.Close" "BTK.Volume" "BTK.Adjusted"
"2003-01-03" 346.390015 346.390015 346.390015 346.390015 0 346.390015
"2003-01-06" 349.130005 349.130005 349.130005 349.130005 0 349.130005
"2003-01-07" NA NA NA NA NA NA
"2003-01-08" NA NA NA NA NA NA
"2003-01-09" 346.730011 346.730011 346.730011 346.730011 0 346.730011
"2003-01-10" NA NA NA NA NA NA
"2003-01-13" 363.920013 363.920013 363.920013 363.920013 0 363.920013
"2003-01-14" 366.200012 366.200012 366.200012 366.200012 0 366.200012
"2003-01-15" 362.690002 362.690002 362.690002 362.690002 0 362.690002
"2003-01-16" NA NA NA NA NA NA
"2003-01-17" 358.130005 358.130005 358.130005 358.130005 0 358.130005
"2003-01-21" 351.929993 351.929993 351.929993 351.929993 0 351.929993
"2003-01-22" 352.190002 352.190002 352.190002 352.190002 0 352.190002
"2003-01-23" NA NA NA NA NA NA
"2003-01-24" NA NA NA NA NA NA
"2003-01-27" 338.359985 338.359985 338.359985 338.359985 0 338.359985
"2003-01-28" 339.730011 339.730011 339.730011 339.730011 0 339.730011
"2003-01-29" 337.769989 337.769989 337.769989 337.769989 0 337.769989
"2003-01-30" NA NA NA NA NA NA
"2003-01-31" 338.410004 338.410004 338.410004 338.410004 0 338.410004
"2003-02-03" 337.470001 337.470001 337.470001 337.470001 0 337.470001
"2003-02-04" NA NA NA NA NA NA
"2003-02-05" NA NA NA NA NA NA
"2003-02-06" NA NA NA NA NA NA
"2003-02-07" NA NA NA NA NA NA
"2003-02-10" 330.190002 330.190002 330.190002 330.190002 0 330.190002
"2003-02-11" 330.459991 330.459991 330.459991 330.459991 0 330.459991
"2003-02-12" NA NA NA NA NA NA
"2003-02-13" NA NA NA NA NA NA
"2003-02-14" 320.700012 320.700012 320.700012 320.700012 0 320.700012
"2003-02-18" 326.839996 326.839996 326.839996 326.839996 0 326.839996
"2003-02-19" NA NA NA NA NA NA
"2003-02-20" 320.299988 320.299988 320.299988 320.299988 0 320.299988
"2003-02-21" NA NA NA NA NA NA
"2003-02-24" NA NA NA NA NA NA
"2003-02-25" NA NA NA NA NA NA
"2003-02-26" NA NA NA NA NA NA
"2003-02-27" NA NA NA NA NA NA
"2003-02-28" 320.51001 320.51001 320.51001 320.51001 0 320.51001
"2003-03-03" 316.970001 316.970001 316.970001 316.970001 0 316.970001
"2003-03-04" 314.730011 314.730011 314.730011 314.730011 0 314.730011
"2003-03-05" 315.390015 315.390015 315.390015 315.390015 0 315.390015
"2003-03-06" 312.390015 312.390015 312.390015 312.390015 0 312.390015
"2003-03-07" NA NA NA NA NA NA
"2003-03-10" 316.670013 316.670013 316.670013 316.670013 0 316.670013
"2003-03-11" 311.690002 311.690002 311.690002 311.690002 0 311.690002
